,DATE,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PTS,OPP_PTS,WINS_LOSSES,OPP_WINS_LOSSES,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,ODDS_ML_BETONLINE,ODDS_ML_BOGDOG,ODDS_ML_BUMBET,ODDS_ML_INTERTOPS,ODDS_ML_OPENING,OPP_ODDS_ML_BOGDOG,OPP_ODDS_ML_BUMBET,OPP_ODDS_ML_OPENING,OPP_ODDS_ML_BETONLINE,OPP_ODDS_ML_INTERTOPS
29,2019-10-26,CLE,IND,110,99,0-1,0-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,+160,+165,+165,+165,+165,-190,-190,-190,-180,-190
30,2019-10-26,HOU,NOP,126,123,0-1,0-2,111.00,30.00,36.00,21.00,24.00,36.67,74.36,33.33,25.00,57.00,14.00,122.00,30.00,31.00,25.00,31.00,42.16,85.00,42.22,30.00,53.00,19.00,-875,-1000,-1000,-875,-650,+600,+600,+475,+660,+585
31,2019-10-26,CHI,TOR,84,108,1-1,1-1,125.00,28.00,27.00,40.00,30.00,46.67,81.82,30.00,25.00,49.00,10.00,130.00,27.00,29.00,32.00,29.00,40.78,84.21,35.00,23.00,57.00,16.00,+118,+140,+140,+130,+135,-160,-160,-155,-138,-150
32,2019-10-26,SAN,WAS,124,122,1-0,1-1,120.00,22.00,37.00,24.00,37.00,50.60,80.56,33.33,22.00,51.00,21.00,100.00,25.00,23.00,20.00,32.00,39.78,83.33,26.83,26.00,47.00,17.00,-815,-1000,-1000,-800,-950,+600,+600,+625,+615,+550
33,2019-10-26,UTA,SAC,113,81,1-1,0-2,93.00,20.00,23.00,18.50,31.50,43.13,82.93,28.57,17.00,44.50,16.50,103.50,28.00,30.00,22.00,23.50,40.80,75.47,37.88,17.00,45.00,21.50,-435,-500,-500,-450,-435,+350,+350,+305,+365,+350
34,2019-10-26,PHO,LAC,130,122,1-1,2-0,115.50,23.00,26.50,24.50,35.50,45.11,92.00,31.15,28.00,49.00,15.50,126.50,28.50,35.00,34.50,28.50,57.14,74.07,46.03,28.50,42.00,15.50,+405,+425,+425,+405,+353,-650,-650,-412,-500,-540
35,2019-10-27,OKC,GS,120,92,0-2,0-1,95.00,12.00,34.00,28.00,21.00,38.55,67.74,37.04,15.00,48.00,13.00,122.00,29.00,25.00,33.00,35.00,39.39,96.67,35.71,27.00,42.00,13.00,-109,+105,+105,-105,+104,-125,-125,-115,-111,-115
36,2019-10-27,MEM,BKN,134,133,0-2,1-1,101.00,32.00,28.00,24.00,17.00,42.70,66.67,15.63,22.00,40.00,24.00,126.00,22.00,34.00,37.00,22.00,47.52,57.69,44.12,19.00,48.00,16.00,+159,+160,+160,+160,+162,-180,-180,-181,-179,-180
37,2019-10-27,MIN,MIA,116,109,2-0,2-0,124.00,31.50,31.50,32.50,22.50,44.72,76.27,30.86,26.50,52.00,14.00,120.00,24.00,30.00,29.00,37.00,47.06,84.62,38.89,18.00,51.00,21.00,-280,-270,-270,-275,-245,+220,+220,+195,+235,+235
38,2019-10-27,DAL,POR,119,121,2-0,1-1,115.50,25.50,41.50,26.00,22.50,47.34,77.97,32.89,20.00,47.50,15.00,111.00,26.00,27.50,30.50,27.00,47.67,88.89,31.03,18.00,44.00,18.00,-142,-140,-140,-150,-115,+120,+120,+104,+122,+130
